Dp_bound,Dp_mid
200,211.850745035458
224.403690860393,237.700445487404
251.785082358834,266.704286432665
282.507508924551,299.247131218887
316.978638492223,335.760803624512
355.655882007785,376.72981789796
399.052462993776,422.69780796733
447.744227713668,474.274741132331
502.377286301916,532.145011959762
563.676586252891,597.076523783592
632.455532033676,669.930878315655
709.626778467151,751.674808576889
796.214341106995,843.393006857165
893.367184301926,946.302517922961
1002.37446725455,1061.76888846198
1124.6826503807,1191.32428705802
1261.91468896039,1336.68783513723
1415.89156876828,1499.78841866491
1588.65646944856,1682.79028329039
1782.50187626749,1888.12175257185
2000,2118.50745035458
2244.03690860393,2377.00445487404
2517.85082358834,2667.04286432665
2825.07508924551,2992.47131218887
3169.78638492223,3357.60803624512
3556.55882007785,3767.2981789796
3990.52462993776,4226.9780796733
4477.44227713668,NaN
